DECISION TREE,,,,,,,,
DT (CIFAR-10),,,PCA-DT (CIFAR-10),,,HS-DT (CIFAR-10),,
Run,Accuracy,Time (s),Run,Accuracy,Time (s),Run,Accuracy,Time (s)
1,27.33,195.21,1,0.2453,73.60887289,1,0.2617,547.0455508
2,27.15,194.3,2,0.2465,74.10379219,2,0.2617,544.337544
3,27.05,195.43,3,0.2431,74.82986212,3,0.2617,542.9848099
4,26.92,193.97,4,0.2444,74.08167911,4,0.2617,545.2337132
5,27.31,189.96,5,0.243,73.28928995,5,0.2617,545.7758899
DT (FASHION-MINST),,,PCA-DT (FASHION-MINST),,,HS-DT (FASHION-MINST),,
Run,Accuracy,Time (s),Run,Accuracy,Time (s),Run,Accuracy,Time (s)
1,79.1,39.48,1,0.7508,93.43864679,1,0.7152,103.372396
2,78.94,39.59,2,0.7505,93.34558487,2,0.7152,103.1430721
3,79.13,39.58,3,0.7507,93.37433529,3,0.7152,102.9896231
4,78.9,39.56,4,0.7473,94.32912898,4,0.7152,103.0515089
5,79.15,39.35,5,0.7481,94.49539089,5,0.7152,103.5272992
DT (ADULT INCOME),,,PCA-DT (ADULT INCOME),,,HS-DT (ADULT INCOME),,
Run,Accuracy,Time (s),Run,Accuracy,Time (s),Run,Accuracy,Time (s)
1,81,0.15,1,0.775733466,0.687544107,1,0.851980772,0.715862036
2,80.89,0.14,2,0.775070446,0.676246881,2,0.851980772,0.708870888
3,81.04,0.14,3,0.776396486,0.679625988,3,0.851980772,0.707540989
4,80.62,0.14,4,0.773578651,0.679961205,4,0.851980772,0.71313262
5,80.62,0.14,5,0.777556771,0.672076941,5,0.851980772,0.715147972
DT (TITANIC),,,PCA-DT (TITANIC),,,HS-DT (TITANIC),,
Run,Accuracy,Time (s),Run,Accuracy,Time (s),Run,Accuracy,Time (s)
1,77.65,0.02,1,0.659217877,0.002244234,1,0.82122905,0.031949043
2,77.65,0,2,0.675977654,0.002031088,2,0.82122905,0.026435852
3,78.21,0,3,0.659217877,0.001991034,3,0.82122905,0.024561167
4,77.65,0,4,0.664804469,0.002096891,4,0.82122905,0.02679491
5,78.21,0,5,0.659217877,0.002233982,5,0.82122905,0.025578976
DT (CREDIT CARD),,,PCA-DT (CREDIT CARD),,,HS-DT (CREDIT CARD),,
Run,Accuracy,Time (s),Run,Accuracy,Time (s),Run,Accuracy,Time (s)
1,72.42,0.62,1,0.699666667,0.416838169,1,0.820666667,2.170444965
2,71.98,0.62,2,0.704666667,0.412584305,2,0.820666667,2.165299892
3,72.42,0.62,3,0.696333333,0.418627977,3,0.820666667,2.173708916
4,72.22,0.61,4,0.698166667,0.422064066,4,0.820666667,2.174731016
5,72.37,0.6,5,0.699833333,0.409684896,5,0.820666667,2.199632883